date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:47	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1679689386-ssl-df	https://heliorangelgomes.netlify.app/robots.txt		(from )
15:59:47	16265/16265	---MCZ	200	added ('OK')	text/html	etag:%22e081bc6af559ca8a0c63d387ed1e72a9-ssl-df%22	https://heliorangelgomes.netlify.app/	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/index.html	(from )
15:59:47	1585/1585	---M--	200	added ('OK')	image/png	etag:%220d4d1f4c27ee4d6a335c9c402db8b99a-ssl%22	https://heliorangelgomes.netlify.app/img/icon.png	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/img/icon.png	(from https://heliorangelgomes.netlify.app/)
15:59:48	6487/6487	---MCZ	200	added ('OK')	text/css	etag:%22732872802efc4131710edd5a9719b79c-ssl-df%22	https://heliorangelgomes.netlify.app/css/normalize.css	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/css/normalize.css	(from https://heliorangelgomes.netlify.app/)
15:59:48	1359/1359	---M-Z	200	added ('OK')	text/css	etag:%228b467b09d5fc37f01564d11f7c882fbe-ssl-df%22	https://heliorangelgomes.netlify.app/css/fonts.css	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/css/fonts.css	(from https://heliorangelgomes.netlify.app/)
15:59:48	12795/12795	---MCZ	200	added ('OK')	text/css	etag:%22cca1490be321be70f96d3dfda16975bc-ssl-df%22	https://heliorangelgomes.netlify.app/css/jquery.fancybox.min.css	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/css/jquery.fancybox.min.css	(from https://heliorangelgomes.netlify.app/)
15:59:49	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%225d76b537759b988c3237096b8abad9ea-ssl-df%22	https://heliorangelgomes.netlify.app/css/slick.css	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/css/slick.css	(from https://heliorangelgomes.netlify.app/)
15:59:49	2286/2286	---M-Z	200	added ('OK')	text/css	etag:%22e22db5656b727e7fa9dad1d65f2a3286-ssl-df%22	https://heliorangelgomes.netlify.app/css/jquery.formstyler.css	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/css/jquery.formstyler.css	(from https://heliorangelgomes.netlify.app/)
15:59:49	13252/13252	---MCZ	200	added ('OK')	text/css	etag:%22f8d23af3553283a900b302169374906c-ssl-df%22	https://heliorangelgomes.netlify.app/css/style.css	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/css/style.css	(from https://heliorangelgomes.netlify.app/)
15:59:50	3225/3225	---M-Z	200	added ('OK')	text/css	etag:%2244c9b394167f1debe390ee65e636723a-ssl-df%22	https://heliorangelgomes.netlify.app/css/media.css	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/css/media.css	(from https://heliorangelgomes.netlify.app/)
15:59:50	412/412	---M--	200	added ('OK')	application/x-php	etag:%229c58605aa57ce0d698a4f34f35aa0abe-ssl%22	https://heliorangelgomes.netlify.app/coletor.php	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/coletor.php	(from https://heliorangelgomes.netlify.app/)
15:59:50	1535/1535	---M--	200	added ('OK')	image/png	etag:%2257ab817bb78b71b83162e13523104c0c-ssl%22	https://heliorangelgomes.netlify.app/img/about-1.png	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/img/about-1.png	(from https://heliorangelgomes.netlify.app/)
15:59:51	1097/1097	---M--	200	added ('OK')	image/png	etag:%22804e685d7212770ad0b99af527d98072-ssl%22	https://heliorangelgomes.netlify.app/img/about-2.png	C:/Os%20meus%20Sites/aa/heliorangelgomes.netlify.app/img/about-2.png	(from https://heliorangelgomes.netlify.app/)
